index,defense_action,text_snippet,top_contributing_features
167,quarantine,URGENT! We are trying to contact you. Last weekends draw shows that you have won a å£900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only,"call (3.7669999599456787), claim (2.382999897003174), won (1.2269999980926514), to (0.7580000162124634), you (-0.5230000019073486), that (-0.4020000100135803), me (0.34299999475479126), we (-0.25200000405311584), are (-0.21799999475479126), my (0.1679999977350235)"
188,quarantine,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed å£1000 cash or å£5000 prize!,"call (4.543000221252441), service (1.4229999780654907), won (1.0640000104904175), or (0.9279999732971191), cash (0.5139999985694885), customer (0.5059999823570251), me (0.3490000069141388), you (0.33799999952316284), have (0.23499999940395355), my (0.1679999977350235)"
225,quarantine,"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY å£1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18","txt (4.23199987411499), from (1.3179999589920044), to (1.159000039100647), 500 (1.1100000143051147), new (0.8069999814033508), go (-0.4099999964237213), no (-0.40799999237060547), call (-0.31700000166893005), me (0.17900000512599945), now (-0.164000004529953)"
227,quarantine,"Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES","txt (3.816999912261963), out (1.9570000171661377), free (1.7309999465942383), to (-0.3310000002384186), call (-0.30799999833106995), your (-0.18700000643730164), is (0.16899999976158142), ur (-0.15600000321865082), from (-0.14800000190734863), me (0.1420000046491623)"
235,quarantine,Text & meet someone sexy today. U can find a date or even flirt its up to U. Join 4 just 10p. REPLY with NAME & AGE eg Sam 25. 18 -msg recd@thirtyeight pence,"text (2.2790000438690186), reply (1.715000033378601), or (1.3300000429153442), to (1.1369999647140503), with (0.8849999904632568), its (-0.6930000185966492), msg (0.5109999775886536), call (-0.40299999713897705), up (-0.35199999809265137), you (0.27799999713897705)"
240,quarantine,U 447801259231 have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094597,"call (3.069999933242798), out (1.840000033378601), so (-0.9279999732971191), with (0.8420000076293945), ur (0.5950000286102295), they (0.49399998784065247), is (0.3840000033378601), have (0.31200000643730164), me (0.2919999957084656), on (0.17100000381469727)"
250,quarantine,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16,"txt (3.8570001125335693), free (1.6740000247955322), 500 (1.152999997138977), to (0.9110000133514404), or (0.847000002861023), of (0.8109999895095825), ur (0.3240000009536743), call (-0.2680000066757202), me (0.1889999955892563), my (0.14900000393390656)"
259,quarantine,We tried to contact you re your reply to our offer of a Video Handset? 750 anytime networks mins? UNLIMITED TEXT? Camcorder? Reply or call 08000930705 NOW,"call (2.940000057220459), text (1.5460000038146973), now (1.190000057220459), or (0.8980000019073486), reply (0.7229999899864197), of (0.41200000047683716), your (0.38600000739097595), me (0.3799999952316284), to (-0.3700000047683716), you (0.3540000021457672)"
264,quarantine,Hey I am really horny want to chat or see me naked text hot to 69698 text charged at 150pm to unsubscribe text stop 69698,"chat (2.9119999408721924), stop (2.1659998893737793), or (1.2599999904632568), text (1.090999960899353), me (-1.0759999752044678), see (0.4259999990463257), want (0.24199999868869781), at (-0.24199999868869781), you (0.17900000512599945), txt (-0.1770000010728836)"
268,quarantine,Ur ringtone service has changed! 25 Free credits! Go to club4mobiles.com to choose content now! Stop? txt CLUB STOP to 87070. 150p/wk Club4 PO Box1146 MK45 2WT,"txt (3.2860000133514404), ringtone (1.8309999704360962), free (1.8079999685287476), now (1.2089999914169312), service (1.1009999513626099), stop (0.9810000061988831), ur (0.39399999380111694), go (-0.3100000023841858), call (-0.2029999941587448), 150p (0.19499999284744263)"
270,quarantine,Ringtone Club: Get the UK singles chart on your mobile each week and choose any top quality ringtone! This message is free of charge.,"ringtone (2.25600004196167), free (2.1679999828338623), mobile (1.0609999895095825), this (0.8370000123977661), message (0.8119999766349792), your (0.5429999828338623), get (0.4620000123977661), call (-0.39899998903274536), of (0.26899999380111694), the (0.25200000405311584)"
273,quarantine,HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com,"send (2.3289999961853027), now (2.0169999599456787), 500 (1.50600004196167), won (1.1150000095367432), call (-0.4000000059604645), to (0.3070000112056732), of (0.18400000035762787), my (0.1720000058412552), txt (-0.16500000655651093), your (-0.16099999845027924)"
296,quarantine,T-Mobile customer you may now claim your FREE CAMERA PHONE upgrade & a pay & go sim card for your loyalty. Call on 0845 021 3680.Offer ends 28thFeb.T&C's apply,"call (3.2209999561309814), claim (1.5829999446868896), free (1.315999984741211), now (0.9649999737739563), mobile (0.9300000071525574), customer (0.5350000262260437), me (0.3659999966621399), your (0.34700000286102295), for (0.34200000762939453), go (-0.3109999895095825)"
305,quarantine,"SMS. ac Blind Date 4U!: Rodds1 is 21/m from Aberdeen, United Kingdom. Check Him out http://img. sms. ac/W/icmb3cktz8r7!-4 no Blind Dates send HIDE","sms (2.8959999084472656), out (1.88100004196167), send (1.534000039100647), from (1.1039999723434448), call (-0.46799999475479126), him (-0.2879999876022339), to (-0.28600001335144043), now (-0.25999999046325684), is (0.18799999356269836), my (0.17299999296665192)"
309,quarantine,"TheMob> Check out our newest selection of content, Games, Tones, Gossip, babes and sport, Keep your mobile fit and funky text WAP to 82468","text (2.2880001068115234), out (1.3949999809265137), mobile (1.2990000247955322), and (-0.9950000047683716), to (0.890999972820282), your (0.7850000262260437), games (0.41999998688697815), you (0.3100000023841858), call (-0.3019999861717224), tones (0.23899999260902405)"
312,quarantine,"Think ur smart ? Win å£200 this week in our weekly quiz, text PLAY to 85222 now!T&Cs WinnersClub PO BOX 84, M26 3UZ. 16+. GBP1.50/week","text (2.6600000858306885), win (2.5969998836517334), now (1.4789999723434448), to (1.100000023841858), this (0.7120000123977661), ur (0.4690000116825104), in (-0.45100000500679016), call (-0.3449999988079071), you (0.2720000147819519), me (0.24699999392032623)"
319,quarantine,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906,"call (3.48799991607666), free (1.2380000352859497), your (0.8169999718666077), the (-0.8159999847412109), you (0.45100000500679016), mobile (0.4169999957084656), for (0.4050000011920929), me (0.3479999899864197), to (-0.33500000834465027), my (0.1899999976158142)"
333,quarantine,Call Germany for only 1 pence per minute! Call from a fixed line via access number 0844 861 85 85. No prepayment. Direct access!,"call (3.428999900817871), from (1.1579999923706055), for (0.8339999914169312), number (0.47600001096725464), me (0.34200000762939453), now (-0.17800000309944153), my (0.16599999368190765), per (0.164000004529953), txt (-0.1289999932050705), to (0.10499999672174454)"
335,quarantine,Valentines Day Special! Win over å£1000 in our quiz and take your partner on the trip of a lifetime! Send GO to 83600 now. 150p/msg rcvd. CustCare:08718720201.,"win (2.2850000858306885), send (1.7690000534057617), over (1.4199999570846558), now (1.4040000438690186), in (-0.6140000224113464), to (0.5519999861717224), of (0.5370000004768372), msg (0.4860000014305115), call (-0.38199999928474426), your (0.35899999737739563)"
349,quarantine,Fancy a shag? I do.Interested? sextextuk.com txt XXUK SUZY to 69876. Txts cost 1.50 per msg. TnCs on website. X,"txt (4.488999843597412), msg (1.1990000009536743), do (-0.6909999847412109), to (0.6690000295639038), call (-0.37400001287460327), on (0.34299999475479126), cost (0.22100000083446503), per (0.20999999344348907), me (0.1589999943971634), now (-0.15299999713897705)"
357,quarantine,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16,"txt (3.8570001125335693), free (1.6740000247955322), 500 (1.152999997138977), to (0.9110000133514404), or (0.847000002861023), of (0.8109999895095825), ur (0.3240000009536743), call (-0.2680000066757202), me (0.1889999955892563), my (0.14900000393390656)"
358,quarantine,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send CASH to 86688 only 150p/msg. CC: 08708800282 HG/Suite342/2Lands Row/W1J6HL,"send (2.4210000038146973), now (2.061000108718872), 500 (1.3220000267028809), msg (0.6949999928474426), in (-0.5440000295639038), call (-0.3970000147819519), is (0.3720000088214874), cash (0.328000009059906), your (-0.1770000010728836), to (0.17100000381469727)"
367,quarantine,"Update_Now - Xmas Offer! Latest Motorola, SonyEricsson & Nokia & FREE Bluetooth! Double Mins & 1000 Txt on Orange. Call MobileUpd8 on 08000839402 or call2optout","call (2.7920000553131104), txt (2.6050000190734863), free (1.6890000104904175), or (1.0709999799728394), orange (0.3659999966621399), me (0.3409999907016754), my (0.164000004529953), now (-0.13600000739097595), from (-0.13099999725818634), your (-0.12999999523162842)"
368,quarantine,Here is your discount code RP176781. To stop further messages reply stop. www.regalportfolio.co.uk. Customer Services 08717205546,"reply (2.2360000610351562), your (1.8700000047683716), stop (1.5049999952316284), to (0.9430000185966492), customer (0.4779999852180481), call (-0.38499999046325684), me (0.20200000703334808), my (0.18199999630451202), now (-0.14399999380111694), in (0.1379999965429306)"
375,quarantine,"Thanks for your Ringtone Order, Reference T91. You will be charged GBP 4 per week. You can unsubscribe at anytime by calling customer services on 09057039994","ringtone (2.674999952316284), your (1.6859999895095825), for (1.3669999837875366), you (-0.828000009059906), customer (0.6259999871253967), call (-0.46000000834465027), unsubscribe (0.3659999966621399), at (-0.29499998688697815), can (-0.19300000369548798), on (0.1860000044107437)"
385,quarantine,"Double mins and txts 4 6months FREE Bluetooth on Orange. Available on Sony, Nokia Motorola phones. Call MobileUpd8 on 08000839402 or call2optout/N9DX","call (4.02400016784668), free (1.812999963760376), or (1.065999984741211), orange (0.3659999966621399), me (0.3310000002384186), your (-0.16200000047683716), my (0.16099999845027924), from (-0.14499999582767487), now (-0.13300000131130219), txt (-0.11900000274181366)"
389,quarantine,4mths half price Orange line rental & latest camera phones 4 FREE. Had your phone 11mths ? Call MobilesDirect free on 08000938767 to update now! or2stoptxt,"call (3.5409998893737793), your (1.7569999694824219), now (1.684999942779541), free (1.0850000381469727), to (0.7070000171661377), me (0.3779999911785126), orange (0.3659999966621399), my (0.20600000023841858), you (0.15700000524520874), but (0.11699999868869781)"
401,quarantine,"FREE RINGTONE text FIRST to 87131 for a poly or text GET to 87131 for a true tone! Help? 0845 2814032 16 after 1st free, tones are 3xå£150pw to eå£nd txt stop","txt (3.1700000762939453), ringtone (1.9800000190734863), text (1.6080000400543213), stop (1.4079999923706055), free (1.180999994277954), or (1.0839999914169312), get (0.4959999918937683), for (0.43799999356269836), help (0.38199999928474426), to (-0.30399999022483826)"
418,quarantine,FREE entry into our å£250 weekly competition just text the word WIN to 80086 NOW. 18 T&C www.txttowin.co.uk,"text (2.9189999103546143), win (2.680999994277954), now (1.6670000553131104), free (1.5889999866485596), to (1.003000020980835), call (-0.3160000145435333), you (0.28600001335144043), me (0.2290000021457672), the (0.1940000057220459), just (-0.19200000166893005)"
420,quarantine,Send a logo 2 ur lover - 2 names joined by a heart. Txt LOVE NAME1 NAME2 MOBNO eg LOVE ADAM EVE 07123456789 to 87077 Yahoo! POBox36504W45WQ TxtNO 4 no ads 150p,"txt (4.010000228881836), send (1.3029999732971191), to (0.8930000066757202), ur (0.6200000047683716), call (-0.3319999873638153), 150p (0.2750000059604645), now (-0.20000000298023224), me (0.16899999976158142), your (-0.15600000321865082), from (-0.15199999511241913)"
421,quarantine,Yes:)from last week itself i'm taking live call.,"call (3.309000015258789), from (2.677000045776367), me (0.34700000286102295), now (-0.18299999833106995), my (0.17100000381469727), txt (-0.13099999725818634), for (-0.10199999809265137), free (-0.10000000149011612), your (-0.09700000286102295), out (-0.09600000083446503)"
422,quarantine,Someone has contacted our dating service and entered your phone because they fancy you! To find out who it is call from a landline 09111032124 . PoBox12n146tf15,"call (3.4839999675750732), and (-1.2400000095367432), your (1.1749999523162842), service (1.159000039100647), from (1.0369999408721924), it (-0.9269999861717224), out (0.8140000104904175), to (0.6600000262260437), you (0.5860000252723694), they (0.4490000009536743)"
424,quarantine,URGENT! Your Mobile number has been awarded with a å£2000 prize GUARANTEED. Call 09058094455 from land line. Claim 3030. Valid 12hrs only,"call (3.321000099182129), claim (1.8509999513626099), your (1.2619999647140503), mobile (1.0080000162124634), been (0.8960000276565552), from (0.8769999742507935), number (0.40700000524520874), me (0.39399999380111694), with (0.37599998712539673), my (0.21299999952316284)"
433,quarantine,Congrats! Nokia 3650 video camera phone is your Call 09066382422 Calls cost 150ppm Ave call 3mins vary from mobiles 16+ Close 300603 post BCM4284 Ldn WC1N3XX,"call (3.2190001010894775), from (0.9079999923706055), your (0.6019999980926514), me (0.3700000047683716), cost (0.2680000066757202), my (0.20000000298023224), now (-0.1770000010728836), is (0.1599999964237213), out (-0.12300000339746475), txt (-0.11299999803304672)"
439,quarantine,"Hi hope u get this txt~journey hasnt been gd,now about 50 mins late I think.","txt (4.186999797821045), now (2.253000020980835), been (1.1030000448226929), this (0.5460000038146973), get (-0.4620000123977661), to (-0.38999998569488525), call (-0.3880000114440918), your (-0.16500000655651093), me (0.16099999845027924), from (-0.1589999943971634)"
455,quarantine,"Loan for any purpose å£500 - å£75,000. Homeowners + Tenants welcome. Have you been previously refused? We can still help. Call Free 0800 1956669 or text back 'h","call (3.250999927520752), free (1.5190000534057617), text (1.4609999656677246), 500 (1.222000002861023), or (1.1490000486373901), help (0.7129999995231628), can (-0.3659999966621399), me (0.35100001096725464), for (0.3160000145435333), been (0.22300000488758087)"
463,quarantine,"UpgrdCentre Orange customer, you may now claim your FREE CAMERA PHONE upgrade for your loyalty. Call now on 0207 153 9153. Offer ends 26th July. T&C's apply. Op","call (2.882999897003174), claim (1.6399999856948853), free (1.3910000324249268), out (1.3550000190734863), customer (0.5540000200271606), your (0.4970000088214874), me (0.35199999809265137), orange (0.29499998688697815), apply (0.22499999403953552), you (0.19900000095367432)"
471,quarantine,okmail: Dear Dave this is your final notice to collect your 4* Tenerife Holiday or #5000 CASH award! Call 09061743806 from landline. TCs SAE Box326 CW25WX 150pp,"call (3.9639999866485596), or (0.9380000233650208), this (0.6809999942779541), from (0.6570000052452087), to (0.6449999809265137), cash (0.5740000009536743), me (0.382999986410141), my (0.21899999678134918), for (-0.13300000131130219), now (-0.12999999523162842)"
474,quarantine,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur Mob? Join the UK's largest Dogging Network by txting MOAN to 69888Nyt. ec2a. 31p.msg@150p,"to (1.2319999933242798), want (1.0709999799728394), ur (0.8650000095367432), get (0.6930000185966492), msg (0.5910000205039978), call (-0.5220000147819519), 150p (0.2750000059604645), the (0.22300000488758087), txt (-0.1979999989271164), me (0.19300000369548798)"
487,quarantine,"FREE MESSAGE Activate your 500 FREE Text Messages by replying to this message with the word FREE For terms & conditions, visit www.07781482378.com","text (2.6500000953674316), free (1.4579999446868896), message (1.1779999732971191), 500 (0.9160000085830688), this (0.7590000033378601), to (0.6539999842643738), your (0.4580000042915344), call (-0.3230000138282776), you (0.30000001192092896), with (0.296999990940094)"
492,quarantine,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out!","call (3.1679999828338623), free (1.6460000276565552), out (1.4550000429153442), now (1.1649999618530273), dont (0.6809999942779541), for (0.625), me (0.3449999988079071), all (0.2750000059604645), my (0.1940000057220459), and (0.1850000023841858)"
505,quarantine,+123 Congratulations - in this week's competition draw u have won the å£1450 prize to claim just call 09050002311 b4280703. T&Cs/stop SMS 08718727868. Over 18 o,"call (3.046999931335449), sms (2.5190000534057617), claim (1.8980000019073486), stop (1.2610000371932983), won (1.1480000019073486), over (0.9430000185966492), in (-0.9229999780654907), this (0.8019999861717224), to (0.5109999775886536), the (0.3840000033378601)"
515,quarantine,"You are guaranteed the latest Nokia Phone, a 40GB iPod MP3 player or a å£500 prize! Txt word: COLLECT to No: 83355! IBHltd LdnW15H 150p/Mtmsgrcvd18+","txt (4.401000022888184), 500 (1.1200000047683716), to (1.0740000009536743), or (1.00600004196167), you (0.4429999887943268), call (-0.3400000035762787), me (0.17100000381469727), my (0.1550000011920929), 150p (0.1469999998807907), now (-0.13500000536441803)"
517,quarantine,Boltblue tones for 150p Reply POLY# or MONO# eg POLY3 1. Cha Cha Slide 2. Yeah 3. Slow Jamz 6. Toxic 8. Come With Me or STOP 4 more tones txt MORE,"txt (3.9600000381469727), stop (2.0290000438690186), with (0.8500000238418579), me (-0.7960000038146973), for (0.699999988079071), reply (0.6389999985694885), to (-0.33500000834465027), call (-0.27300000190734863), tones (0.23899999260902405), or (0.2150000035762787)"
525,quarantine,"URGENT!: Your Mobile No. was awarded a å£2,000 Bonus Caller Prize on 02/09/03! This is our 2nd attempt to contact YOU! Call 0871-872-9755 BOX95QU","call (3.865999937057495), mobile (1.2929999828338623), your (1.1729999780654907), to (0.8270000219345093), was (-0.6240000128746033), this (0.6050000190734863), you (0.48100000619888306), no (-0.43299999833106995), on (0.3840000033378601), me (0.3709999918937683)"
527,quarantine,"Today's Offer! Claim ur å£150 worth of discount vouchers! Text YES to 85023 now! SavaMob, member offers mobile! T Cs 08717898035. å£3.00 Sub. 16 . Unsub reply X","claim (1.8869999647140503), text (1.812999963760376), reply (1.4589999914169312), to (1.347000002861023), now (1.184999942779541), mobile (0.6800000071525574), of (0.6269999742507935), ur (0.5070000290870667), call (-0.29100000858306885), you (0.27300000190734863)"
531,quarantine,PRIVATE! Your 2003 Account Statement for 07815296484 shows 800 un-redeemed S.I.M. points. Call 08718738001 Identifier Code 41782 Expires 18/11/04 ,"call (4.238999843597412), your (2.0850000381469727), for (1.4079999923706055), me (0.36800000071525574), my (0.18299999833106995), now (-0.15299999713897705), you (0.15199999511241913), 18 (0.13600000739097595), in (0.13500000536441803), from (-0.1120000034570694)"
